GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.6295,-0.3805,1.8341,-0.2843,-0.1439,-0.1377,-39.7,-15.15,-7.8,181.46,2.51,-79.29,14,2014-12-29 23:50:32:587
9.6488,-0.2831,1.7482,0.0837,0.0057,0.0819,-39.65,-14.85,-7.2,178.36,2.25,-79.37,314,2014-12-29 23:50:32:887
9.6485,-0.2736,1.7511,-0.0635,-0.0058,0.1218,-39.55,-14.35,-6.95,178.97,1.62,-79.69,614,2014-12-29 23:50:33:187
9.6688,-0.3043,1.6295,-0.429,-0.2003,-0.2141,-40.2,-13.7,-7.05,180.96,1.78,-80.43,913,2014-12-29 23:50:33:486
9.6518,-0.3046,1.728,-0.1055,-0.0807,-0.0322,-39.6,-14.45,-7.8,183.1,1.78,-79.85,1214,2014-12-29 23:50:33:787
9.6519,-0.3161,1.725,0.019,-0.0096,-0.1668,-39.55,-15.1,-7.55,182.94,1.85,-79.87,1514,2014-12-29 23:50:34:087
9.6519,-0.3375,1.7207,-0.0353,-0.0132,0.1174,-40.0,-13.9,-6.6,179.62,1.95,-79.93,1814,2014-12-29 23:50:34:387
9.6356,-0.3364,1.8102,-0.0483,-0.2401,1.2349,-39.95,-13.95,-6.95,178.12,1.96,-79.36,2114,2014-12-29 23:50:34:687
9.6389,-0.3387,1.7918,-0.0476,-0.0254,-0.1329,-40.0,-15.1,-8.15,181.69,1.94,-79.37,2414,2014-12-29 23:50:34:987
9.6394,-0.2952,1.7973,0.0582,0.0031,0.0527,-40.05,-14.6,-7.5,182.17,1.86,-79.5,2715,2014-12-29 23:50:35:288
9.6395,-0.298,1.7957,0.044,-0.0166,0.021,-40.15,-13.8,-7.1,178.33,1.74,-79.45,3015,2014-12-29 23:50:35:588
9.6388,-0.3111,1.7981,0.0034,-0.0555,0.1105,-39.65,-13.95,-7.05,178.33,1.86,-79.45,3315,2014-12-29 23:50:35:888
9.6418,-0.3036,1.7832,-0.0156,0.021,-0.1195,-40.25,-13.2,-5.65,174.49,1.77,-79.52,3614,2014-12-29 23:50:36:187
9.6561,-0.3435,1.6961,-0.1439,-0.148,0.0117,-40.0,-13.3,-5.7,175.47,1.82,-79.87,3914,2014-12-29 23:50:36:487
9.6667,-0.2838,1.6457,0.0534,0.0337,0.0223,-39.85,-14.15,-5.6,176.84,1.8,-80.28,4214,2014-12-29 23:50:36:787
9.6691,-0.2572,1.6355,-0.0192,-0.0433,-0.0442,-40.65,-13.75,-5.1,172.36,1.45,-80.25,4514,2014-12-29 23:50:37:087
9.6642,-0.2527,1.6654,0.1924,0.0853,0.2397,-40.75,-12.6,-4.75,172.19,1.44,-80.37,4814,2014-12-29 23:50:37:387
9.6474,-0.2703,1.7572,-0.0753,-0.0448,0.2488,-40.1,-13.55,-5.35,171.53,1.58,-79.68,5113,2014-12-29 23:50:37:686
9.6539,-0.3175,1.7136,0.044,0.0632,0.1585,-39.95,-13.1,-6.1,175.1,2.03,-79.72,5414,2014-12-29 23:50:37:987
9.6706,-0.2979,1.6204,-0.0695,-0.0629,-0.0464,-40.2,-13.65,-6.5,176.53,1.5,-80.18,5714,2014-12-29 23:50:38:287
9.667,-0.4887,1.5948,-0.0449,0.0922,-0.0251,-39.6,-13.95,-6.9,181.31,2.32,-80.58,6013,2014-12-29 23:50:38:586
9.6578,-0.6797,1.581,0.0732,0.3639,0.2278,-39.3,-12.35,-10.4,193.78,3.5,-80.66,6314,2014-12-29 23:50:38:887
9.6185,-0.7216,1.7885,-0.0257,0.3896,-0.072,-39.6,-8.4,-13.4,204.64,3.99,-79.44,6614,2014-12-29 23:50:39:187
9.6272,-1.1035,1.5279,-0.1078,0.6032,-0.1079,-39.25,-5.4,-15.2,222.81,5.31,-80.17,6914,2014-12-29 23:50:39:487
9.6512,-1.3355,1.1421,0.0527,0.9077,0.4446,-39.0,1.45,-17.4,249.68,7.82,-83.25,7214,2014-12-29 23:50:39:787
